AverageTime,CurrentTime,Description,Distance,EndPoint,Name,StartPoint,TimeUpdated,TravelTimeID
22,23,Downtown Seattle to Redmond via I-90 using HOV lanes,17.36,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'E', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.66, 'RoadName': '520'}",Seattle-Redmond via 90 HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.13, 'RoadName': '005'}",/Date(1746912600000-0700)/,82
19,20,Redmond to Downtown Seattle via I-90,18.05,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Redmond-Seattle via 90,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'W', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.65, 'RoadName': '520'}",/Date(1746912600000-0700)/,83
22,25,Downtown Seattle to Redmond via I-90,17.36,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'E', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.66, 'RoadName': '520'}",Seattle-Redmond via 90,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.13, 'RoadName': '005'}",/Date(1746912600000-0700)/,84
11,11,Downtown Bellevue to Downtown Seattle using SR 520,10.53,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Bellevue-Seattle via 520,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,89
11,10,Downtown Bellevue to Downtown Seattle via SR 520 using HOV lane,9.75,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 166.61, 'RoadName': '005'}",Bellevue-Seattle via 520 HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,90
11,10,Downtown Seattle to Downtown Bellevue via SR 520 using HOV lane,10.46,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Seattle-Bellevue via 520 HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,91
11,10,Downtown Seattle to Downtown Bellevue via SR 520,10.31,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Seattle-Bellevue via 520,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,92
11,12,Downtown Bellevue to Downtown Seattle using I-90,10.56,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Bellevue-Seattle via 90,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",/Date(1746912600000-0700)/,93
11,12,Downtown Bellevue to Downtown Seattle via I-90 using HOV lanes,10.57,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Bellevue-Seattle via 90 HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",/Date(1746912600000-0700)/,94
15,16,Downtown Seattle to Downtown Bellevue via I-90 using HOV lanes,10.45,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.61361, 'Longitude': -122.18797, 'MilePost': 13.6, 'RoadName': '405'}",Seattle-Bellevue via 90 HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.13, 'RoadName': '005'}",/Date(1746912600000-0700)/,95
15,17,Downtown Seattle to Downtown Bellevue via I-90,10.45,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.61361, 'Longitude': -122.18797, 'MilePost': 13.6, 'RoadName': '405'}",Seattle-Bellevue via 90,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.13, 'RoadName': '005'}",/Date(1746912600000-0700)/,96
7,7,Downtown Bellevue to Redmond,6.91,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'E', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.66, 'RoadName': '520'}",Bellevue-Redmond,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,99
7,7,Downtown Bellevue to Redmond using HOV lanes,6.91,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'E', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.66, 'RoadName': '520'}",Bellevue-Redmond HOV,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,100
8,8,Redmond to Downtown Bellevue using HOV lanes,7.49,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Redmond-Bellevue HOV,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'W', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.65, 'RoadName': '520'}",/Date(1746912600000-0700)/,101
8,8,Redmond to Downtown Bellevue,7.49,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'S', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.33, 'RoadName': '405'}",Redmond-Bellevue,"{'Description': 'SR 520 @ Redmond Way in Redmond', 'Direction': 'W', 'Latitude': 47.668087, 'Longitude': -122.110145, 'MilePost': 12.65, 'RoadName': '520'}",/Date(1746912600000-0700)/,102
26,29,Downtown Seattle to Everett using express lanes and HOV lanes,26.94,"{'Description': 'I-5 @ 41st St in Everett', 'Direction': 'N', 'Latitude': 47.92428, 'Longitude': -122.26548, 'MilePost': 192.77, 'RoadName': '005'}",Seattle-Everett EL HOV,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,131
27,28,Downtown Seattle to Everett using express lanes,26.94,"{'Description': 'I-5 @ 41st St in Everett', 'Direction': 'N', 'Latitude': 47.92428, 'Longitude': -122.26548, 'MilePost': 192.77, 'RoadName': '005'}",Seattle-Everett EL,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,132
39,49,Everett to Downtown Seattle,26.72,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Everett-Seattle,"{'Description': 'I-5 @ 41st St in Everett', 'Direction': 'S', 'Latitude': 47.964146, 'Longitude': -122.199237, 'MilePost': 192.55, 'RoadName': '005'}",/Date(1746912600000-0700)/,1
24,32,Lynnwood to Downtown Seattle using HOV lanes,15.23,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Lynnwood-Seattle HOV,"{'Description': 'I-5 @ 196th St SW in Lynnwood', 'Direction': 'S', 'Latitude': 47.820954, 'Longitude': -122.279633, 'MilePost': 181.06, 'RoadName': '005'}",/Date(1746912600000-0700)/,275
9,9,Downtown Bellevue to SR 522 in Bothell,9.41,"{'Description': 'I-405 @ SR 522 in Bothell', 'Direction': 'N', 'Latitude': 47.751518, 'Longitude': -122.187178, 'MilePost': 23.01, 'RoadName': '405'}",Bellevue-SR 522,"{'Description': 'I-405 @ NE 8th St in Bellevue', 'Direction': 'N', 'Latitude': 47.6138, 'Longitude': -122.18892, 'MilePost': 13.6, 'RoadName': '405'}",/Date(1746912600000-0700)/,55
0,0,SR 522 WB at SR 522 @ SR 202 in Woodinville (MP 11) to I-5 SB a,23.87,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Woodinville-Seattle via 522 and 5 EL,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'W', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 10.56, 'RoadName': '522'}",/Date(1746912600000-0700)/,287
32,37,SR 522 WB at SR 522 @ SR 202 in Woodinville (MP 11) to I-5 SB a,15.32,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",Woodinville-Seattle via 522,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'W', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 10.56, 'RoadName': '522'}",/Date(1746912600000-0700)/,288
25,27,Downtown Seattle to Woodinville,20.56,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'N', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 23.01, 'RoadName': '405'}",Seattle-Woodinville via 90,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'S', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,294
18,17,Downtown Seattle to Woodinville,17.2,"{'Description': 'SR 522 @ SR 202 in Woodinville', 'Direction': 'N', 'Latitude': 47.75818, 'Longitude': -122.16402, 'MilePost': 23.01, 'RoadName': '405'}",Seattle-Woodinville via 520,"{'Description': 'I-5 @ University St in Seattle', 'Direction': 'N', 'Latitude': 47.609294, 'Longitude': -122.331759, 'MilePost': 165.83, 'RoadName': '005'}",/Date(1746912600000-0700)/,295
